ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-05 03:23,KXBTC15M-26AUG042330-30,entry,no,98,5,4.90,0.01,64060.79,42.05
2026-08-05 03:38,KXBTC15M-26AUG042345-45,entry,yes,90,5,4.50,0.04,64105.60,12.29
2026-08-05 03:53,KXBTC15M-26AUG050000-00,entry,yes,67,7,4.69,0.11,64124.81,5.08
2026-08-05 04:08,KXBTC15M-26AUG050015-15,entry,no,85,5,4.25,0.05,64092.79,5.67
2026-08-05 04:38,KXBTC15M-26AUG050045-45,entry,yes,86,5,4.30,0.05,64138.29,5.77
2026-08-05 04:53,KXBTC15M-26AUG050100-00,entry,no,91,5,4.55,0.03,64106.25,3.41
2026-08-05 04:54,KXBTC15M-26AUG050100-00,add,no,77,6,4.62,0.08,64101.52,4.15
2026-08-05 05:08,KXBTC15M-26AUG050115-15,entry,yes,96,5,4.80,0.02,64227.21,16.75
2026-08-05 05:23,KXBTC15M-26AUG050130-30,entry,yes,93,5,4.65,0.03,64330.39,10.58
2026-08-05 05:38,KXBTC15M-26AUG050145-45,entry,no,93,5,4.65,0.03,64308.83,11.85
2026-08-05 06:08,KXBTC15M-26AUG050215-15,entry,no,86,5,4.30,0.05,64264.05,6.82
2026-08-05 06:11,KXBTC15M-26AUG050215-15,add,no,79,6,4.74,0.07,64291.19,2.60
2026-08-05 06:23,KXBTC15M-26AUG050230-30,entry,no,76,6,4.56,0.08,64243.18,5.70
2026-08-05 06:27,KXBTC15M-26AUG050230-30,add,no,64,7,4.48,0.12,64255.78,3.74
2026-08-05 06:53,KXBTC15M-26AUG050300-00,entry,no,92,5,4.60,0.03,64199.99,7.60
2026-08-05 06:54,KXBTC15M-26AUG050300-00,add,no,86,5,4.30,0.05,64204.17,6.95
2026-08-05 07:08,KXBTC15M-26AUG050315-15,entry,no,69,7,4.83,0.11,64170.44,5.38
2026-08-05 07:23,KXBTC15M-26AUG050330-30,entry,no,95,5,4.75,0.02,64013.81,18.44
2026-08-05 07:53,KXBTC15M-26AUG050400-00,entry,yes,90,5,4.50,0.04,64000.00,5.69
2026-08-05 08:08,KXBTC15M-26AUG050415-15,entry,no,61,8,4.88,0.14,64098.00,1.20
2026-08-05 08:10,KXBTC15M-26AUG050415-15,add,no,20,25,5.00,0.29,64148.63,6.69
2026-08-05 08:11,KXBTC15M-26AUG050415-15,add,no,4,125,5.00,0.34,64158.49,8.23
2026-08-05 08:12,KXBTC15M-26AUG050415-15,add,no,1,500,5.00,0.35,64188.04,12.84
2026-08-05 08:23,KXBTC15M-26AUG050430-30,entry,no,71,7,4.97,0.11,64143.67,2.47
2026-08-05 08:25,KXBTC15M-26AUG050430-30,add,no,58,8,4.64,0.14,64144.37,2.36
2026-08-05 08:27,KXBTC15M-26AUG050430-30,add,no,14,35,4.90,0.30,64199.99,6.31
2026-08-05 08:38,KXBTC15M-26AUG050445-45,entry,no,88,5,4.40,0.04,64187.64,4.25
2026-08-05 08:39,KXBTC15M-26AUG050445-45,add,no,75,6,4.50,0.08,64168.81,7.18
2026-08-05 09:08,KXBTC15M-26AUG050515-15,entry,yes,83,6,4.98,0.06,64085.16,3.40
2026-08-05 09:23,KXBTC15M-26AUG050530-30,entry,yes,94,5,4.70,0.02,64128.18,6.93
2026-08-05 09:25,KXBTC15M-26AUG050530-30,add,yes,83,6,4.98,0.06,64108.32,3.84
2026-08-05 09:38,KXBTC15M-26AUG050545-45,entry,yes,87,5,4.35,0.04,64152.41,7.63
2026-08-05 10:08,KXBTC15M-26AUG050615-15,entry,yes,81,6,4.86,0.07,64129.31,4.43
2026-08-05 10:10,KXBTC15M-26AUG050615-15,add,yes,55,9,4.95,0.16,64064.04,5.75
2026-08-05 10:11,KXBTC15M-26AUG050615-15,add,yes,16,31,4.96,0.30,64061.57,6.14
2026-08-05 10:12,KXBTC15M-26AUG050615-15,add,yes,6,83,4.98,0.33,64086.42,2.26
2026-08-05 10:38,KXBTC15M-26AUG050645-45,entry,no,62,8,4.96,0.14,64144.82,2.26
2026-08-05 10:42,KXBTC15M-26AUG050645-45,add,no,53,9,4.77,0.16,64135.85,3.65
2026-08-05 10:53,KXBTC15M-26AUG050700-00,entry,no,98,5,4.90,0.01,64011.67,20.38
2026-08-05 11:08,KXBTC15M-26AUG050715-15,entry,yes,64,7,4.48,0.12,64037.34,4.12
2026-08-05 11:23,KXBTC15M-26AUG050730-30,entry,no,84,5,4.20,0.05,64012.68,4.47
2026-08-05 11:25,KXBTC15M-26AUG050730-30,add,no,54,9,4.86,0.16,64025.45,2.48
2026-08-05 11:38,KXBTC15M-26AUG050745-45,entry,yes,77,6,4.62,0.08,64051.49,3.30
2026-08-05 11:53,KXBTC15M-26AUG050800-00,entry,no,61,8,4.88,0.14,64025.99,3.86
2026-08-05 12:08,KXBTC15M-26AUG050815-15,entry,yes,86,5,4.30,0.05,64076.21,8.23
2026-08-05 12:23,KXBTC15M-26AUG050830-30,entry,yes,97,5,4.85,0.02,64415.65,41.80
2026-08-05 12:38,KXBTC15M-26AUG050845-45,entry,no,71,7,4.97,0.11,64408.45,12.66
2026-08-05 12:53,KXBTC15M-26AUG050900-00,entry,no,98,5,4.90,0.01,64290.23,21.25
2026-08-05 13:08,KXBTC15M-26AUG050915-15,entry,no,98,5,4.90,0.01,64208.98,14.02
2026-08-05 13:23,KXBTC15M-26AUG050930-30,entry,yes,90,5,4.50,0.04,64142.19,8.87
2026-08-05 13:38,KXBTC15M-26AUG050945-45,entry,no,91,5,4.55,0.03,64051.44,6.26
2026-08-05 13:39,KXBTC15M-26AUG050945-45,add,no,65,7,4.55,0.12,64176.77,13.29
2026-08-05 13:40,KXBTC15M-26AUG050945-45,add,no,24,20,4.80,0.26,64187.16,14.91
2026-08-05 13:41,KXBTC15M-26AUG050945-45,add,no,14,35,4.90,0.30,64161.83,10.96
2026-08-05 13:53,KXBTC15M-26AUG051000-00,entry,yes,78,6,4.68,0.08,64283.00,23.64
2026-08-05 14:08,KXBTC15M-26AUG051015-15,entry,yes,73,6,4.38,0.09,64404.30,10.91
2026-08-05 14:23,KXBTC15M-26AUG051030-30,entry,no,71,7,4.97,0.11,64328.41,17.27
2026-08-05 14:38,KXBTC15M-26AUG051045-45,entry,no,76,6,4.56,0.08,64296.01,7.11
2026-08-05 14:39,KXBTC15M-26AUG051045-45,add,no,69,7,4.83,0.11,64264.75,11.97
2026-08-05 14:44,KXBTC15M-26AUG051045-45,add,no,48,10,4.80,0.18,64362.64,3.25
2026-08-05 15:08,KXBTC15M-26AUG051115-15,entry,yes,75,6,4.50,0.08,64496.94,7.42
2026-08-05 15:23,KXBTC15M-26AUG051130-30,entry,no,97,5,4.85,0.02,64448.24,25.04
2026-08-05 15:38,KXBTC15M-26AUG051145-45,entry,yes,86,5,4.30,0.05,64561.20,13.42
2026-08-05 15:53,KXBTC15M-26AUG051200-00,entry,no,96,5,4.80,0.02,64392.59,19.73
2026-08-05 16:08,KXBTC15M-26AUG051215-15,entry,yes,94,5,4.70,0.02,64426.84,11.54
2026-08-05 16:23,KXBTC15M-26AUG051230-30,entry,yes,95,5,4.75,0.02,64613.11,16.78
